predict_value,currect_value
10000.0009765625,10000.0
11999.0,11999.0
37999.99609375,38000.0
35999.99609375,36000.0
20999.998046875,21000.0
11999.0,11999.0
13998.9990234375,13999.0
22999.998046875,23000.0
10299.9990234375,10300.0
37999.99609375,38000.0
10999.9990234375,11000.0
22999.998046875,23000.0
38999.99609375,39000.0
21998.998046875,21999.0
6000.00048828125,6000.0
11999.9990234375,12000.0
35999.99609375,36000.0
13998.9990234375,13999.0
22999.998046875,23000.0
64999.99609375,65000.0
9998.9990234375,9999.0
11999.0,11999.0
10999.9990234375,11000.0
31999.998046875,32000.0
20999.998046875,21000.0
10999.9990234375,11000.0
64999.99609375,65000.0
11999.0,11999.0
64999.99609375,65000.0
10998.9990234375,10999.0
11999.9990234375,12000.0
11999.0,11999.0
10299.9990234375,10300.0
8999.0009765625,8999.0
20999.998046875,21000.0
9998.9990234375,9999.0
11999.0,11999.0
21998.998046875,21999.0
31999.998046875,32000.0
6000.00048828125,6000.0
10299.9990234375,10300.0
35999.99609375,36000.0
31999.998046875,32000.0
22999.998046875,23000.0
11999.9990234375,12000.0
22999.998046875,23000.0
38999.99609375,39000.0
22999.998046875,23000.0
22999.998046875,23000.0
21998.998046875,21999.0
22999.998046875,23000.0
10000.0009765625,10000.0
35999.99609375,36000.0
38999.99609375,39000.0
10998.9990234375,10999.0
13998.9990234375,13999.0
64999.99609375,65000.0
9998.9990234375,9999.0
38999.99609375,39000.0
9998.9990234375,9999.0
31999.998046875,32000.0
21998.998046875,21999.0
13998.9990234375,13999.0
10299.9990234375,10300.0
29999.998046875,30000.0
31999.998046875,32000.0
13998.9990234375,13999.0
10998.9990234375,10999.0
37999.99609375,38000.0
38999.99609375,39000.0
13998.9990234375,13999.0
37999.99609375,38000.0
10999.9990234375,11000.0
10999.9990234375,11000.0
10999.9990234375,11000.0
64999.99609375,65000.0
10299.9990234375,10300.0
13998.9990234375,13999.0
38999.99609375,39000.0
37999.99609375,38000.0
10999.9990234375,11000.0
64999.99609375,65000.0
22999.998046875,23000.0
11999.9990234375,12000.0
13998.9990234375,13999.0
10000.0009765625,10000.0
29999.998046875,30000.0
64999.99609375,65000.0
31999.998046875,32000.0
21999.998046875,22000.0
22999.998046875,23000.0
11999.0,11999.0
10299.9990234375,10300.0
21999.998046875,22000.0
22999.998046875,23000.0
37999.99609375,38000.0
11999.9990234375,12000.0
10000.0009765625,10000.0
10999.9990234375,11000.0
8999.0009765625,8999.0
13998.9990234375,13999.0
11999.0,11999.0
10299.9990234375,10300.0
20999.998046875,21000.0
22999.998046875,23000.0
35999.99609375,36000.0
21999.998046875,22000.0
10000.0009765625,10000.0
21999.998046875,22000.0
8999.0009765625,8999.0
20999.998046875,21000.0
10299.9990234375,10300.0
31999.998046875,32000.0
20999.998046875,21000.0
21999.998046875,22000.0
22999.998046875,23000.0
21999.998046875,22000.0
37999.99609375,38000.0
20999.998046875,21000.0
64999.99609375,65000.0
10999.9990234375,11000.0
6000.00048828125,6000.0
38999.99609375,39000.0
31999.998046875,32000.0
64999.99609375,65000.0
10998.9990234375,10999.0
20999.998046875,21000.0
35999.99609375,36000.0
64999.99609375,65000.0
38999.99609375,39000.0
13998.9990234375,13999.0
31999.998046875,32000.0
10999.9990234375,11000.0
31999.998046875,32000.0
10999.9990234375,11000.0
37999.99609375,38000.0
13998.9990234375,13999.0
11999.9990234375,12000.0
22999.998046875,23000.0
21998.998046875,21999.0
9998.9990234375,9999.0
10000.0009765625,10000.0
11999.0,11999.0
22999.998046875,23000.0
31999.998046875,32000.0
13998.9990234375,13999.0
10000.0009765625,10000.0
9998.9990234375,9999.0
22999.998046875,23000.0
13998.9990234375,13999.0
35999.99609375,36000.0
64999.99609375,65000.0
10000.0009765625,10000.0
21998.998046875,21999.0
37999.99609375,38000.0
21999.998046875,22000.0
11999.0,11999.0
31999.998046875,32000.0
21999.998046875,22000.0
10999.9990234375,11000.0
10998.9990234375,10999.0
13998.9990234375,13999.0
10299.9990234375,10300.0
9998.9990234375,9999.0
20999.998046875,21000.0
10299.9990234375,10300.0
35999.99609375,36000.0
10299.9990234375,10300.0
10000.0009765625,10000.0
22999.998046875,23000.0
21998.998046875,21999.0
37999.99609375,38000.0
13998.9990234375,13999.0
13998.9990234375,13999.0
22999.998046875,23000.0
37999.99609375,38000.0
10998.9990234375,10999.0
22999.998046875,23000.0
35999.99609375,36000.0
38999.99609375,39000.0
8999.0009765625,8999.0
22999.998046875,23000.0
37999.99609375,38000.0
8999.0009765625,8999.0
22999.998046875,23000.0
13998.9990234375,13999.0
20999.998046875,21000.0
37999.99609375,38000.0
13998.9990234375,13999.0
9998.9990234375,9999.0
10299.9990234375,10300.0
20999.998046875,21000.0
8999.0009765625,8999.0
64999.99609375,65000.0
21998.998046875,21999.0
10999.9990234375,11000.0
35999.99609375,36000.0
21999.998046875,22000.0
11999.0,11999.0
20999.998046875,21000.0
13998.9990234375,13999.0
11999.9990234375,12000.0
22999.998046875,23000.0
22999.998046875,23000.0
10299.9990234375,10300.0
64999.99609375,65000.0
22999.998046875,23000.0
37999.99609375,38000.0
6000.00048828125,6000.0
64999.99609375,65000.0
8999.0009765625,8999.0
11999.0,11999.0
10000.0009765625,10000.0
10998.9990234375,10999.0
35999.99609375,36000.0
11999.0,11999.0
10998.9990234375,10999.0
6000.00048828125,6000.0
20999.998046875,21000.0
64999.99609375,65000.0
21998.998046875,21999.0
10998.9990234375,10999.0
21998.998046875,21999.0
22999.998046875,23000.0
22999.998046875,23000.0
37999.99609375,38000.0
38999.99609375,39000.0
38999.99609375,39000.0
22999.998046875,23000.0
11999.0,11999.0
21999.998046875,22000.0
21999.998046875,22000.0
11999.0,11999.0
10299.9990234375,10300.0
64999.99609375,65000.0
10000.0009765625,10000.0
11999.9990234375,12000.0
35999.99609375,36000.0
64999.99609375,65000.0
38999.99609375,39000.0
37999.99609375,38000.0
37999.99609375,38000.0
13998.9990234375,13999.0
21999.998046875,22000.0
29999.998046875,30000.0
13998.9990234375,13999.0
38999.99609375,39000.0
10999.9990234375,11000.0
35999.99609375,36000.0
35999.99609375,36000.0
11999.0,11999.0
21999.998046875,22000.0
31999.998046875,32000.0
6000.00048828125,6000.0
64999.99609375,65000.0
21999.998046875,22000.0
64999.99609375,65000.0
21999.998046875,22000.0
10299.9990234375,10300.0
11999.9990234375,12000.0
11999.9990234375,12000.0
13998.9990234375,13999.0
13998.9990234375,13999.0
10299.9990234375,10300.0
10999.9990234375,11000.0
64999.99609375,65000.0
10998.9990234375,10999.0
64999.99609375,65000.0
21998.998046875,21999.0
9998.9990234375,9999.0
11999.9990234375,12000.0
10000.0009765625,10000.0
31999.998046875,32000.0
22999.998046875,23000.0
37999.99609375,38000.0
31999.998046875,32000.0
20999.998046875,21000.0
10000.0009765625,10000.0
11999.9990234375,12000.0
21998.998046875,21999.0
35999.99609375,36000.0
11999.0,11999.0
10999.9990234375,11000.0
10299.9990234375,10300.0
10998.9990234375,10999.0
35999.99609375,36000.0
13998.9990234375,13999.0
37999.99609375,38000.0
9998.9990234375,9999.0
31999.998046875,32000.0
10998.9990234375,10999.0
22999.998046875,23000.0
11999.9990234375,12000.0
8999.0009765625,8999.0
6000.00048828125,6000.0
11999.0,11999.0
10000.0009765625,10000.0
10299.9990234375,10300.0
13998.9990234375,13999.0
21999.998046875,22000.0
64999.99609375,65000.0
64999.99609375,65000.0
10998.9990234375,10999.0
22999.998046875,23000.0
38999.99609375,39000.0
21999.998046875,22000.0
21998.998046875,21999.0
37999.99609375,38000.0
37999.99609375,38000.0
11999.0,11999.0
64999.99609375,65000.0
6000.00048828125,6000.0
21998.998046875,21999.0
35999.99609375,36000.0
29999.998046875,30000.0
11999.9990234375,12000.0
21999.998046875,22000.0
9998.9990234375,9999.0
64999.99609375,65000.0
10998.9990234375,10999.0
11999.9990234375,12000.0
64999.99609375,65000.0
22999.998046875,23000.0
10000.0009765625,10000.0
10999.9990234375,11000.0
31999.998046875,32000.0
10998.9990234375,10999.0
13998.9990234375,13999.0
64999.99609375,65000.0
35999.99609375,36000.0
11999.9990234375,12000.0
31999.998046875,32000.0
35999.99609375,36000.0
22999.998046875,23000.0
11999.0,11999.0
10999.9990234375,11000.0
21998.998046875,21999.0
22999.998046875,23000.0
37999.99609375,38000.0
10998.9990234375,10999.0
22999.998046875,23000.0
38999.99609375,39000.0
22999.998046875,23000.0
22999.998046875,23000.0
8999.0009765625,8999.0
64999.99609375,65000.0
31999.998046875,32000.0
10299.9990234375,10300.0
11999.0,11999.0
22999.998046875,23000.0
10299.9990234375,10300.0
21998.998046875,21999.0
10000.0009765625,10000.0
22999.998046875,23000.0
10998.9990234375,10999.0
21998.998046875,21999.0
10999.9990234375,11000.0
22999.998046875,23000.0
8999.0009765625,8999.0
38999.99609375,39000.0
13998.9990234375,13999.0
31999.998046875,32000.0
22999.998046875,23000.0
11999.9990234375,12000.0
64999.99609375,65000.0
8999.0009765625,8999.0
13998.9990234375,13999.0
64999.99609375,65000.0
21998.998046875,21999.0
11999.0,11999.0
8999.0009765625,8999.0
11999.9990234375,12000.0
9998.9990234375,9999.0
10299.9990234375,10300.0
10299.9990234375,10300.0
10299.9990234375,10300.0
13998.9990234375,13999.0
13998.9990234375,13999.0
22999.998046875,23000.0
37999.99609375,38000.0
21999.998046875,22000.0
64999.99609375,65000.0
9998.9990234375,9999.0
13998.9990234375,13999.0
6000.00048828125,6000.0
38999.99609375,39000.0
13998.9990234375,13999.0
21998.998046875,21999.0
8999.0009765625,8999.0
11999.9990234375,12000.0
21999.998046875,22000.0
22999.998046875,23000.0
64999.99609375,65000.0
11999.0,11999.0
21998.998046875,21999.0
11999.0,11999.0
10999.9990234375,11000.0
10000.0009765625,10000.0
31999.998046875,32000.0
11999.9990234375,12000.0
10999.9990234375,11000.0
22999.998046875,23000.0
22999.998046875,23000.0
64999.99609375,65000.0
31999.998046875,32000.0
9998.9990234375,9999.0
10998.9990234375,10999.0
37999.99609375,38000.0
21998.998046875,21999.0
13998.9990234375,13999.0
10000.0009765625,10000.0
22999.998046875,23000.0
9998.9990234375,9999.0
8999.0009765625,8999.0
20999.998046875,21000.0
22999.998046875,23000.0
35999.99609375,36000.0
35999.99609375,36000.0
21998.998046875,21999.0
31999.998046875,32000.0
13998.9990234375,13999.0
37999.99609375,38000.0
9998.9990234375,9999.0
11999.9990234375,12000.0
64999.99609375,65000.0
21999.998046875,22000.0
29999.998046875,30000.0
9998.9990234375,9999.0
10299.9990234375,10300.0
8999.0009765625,8999.0
13998.9990234375,13999.0
8999.0009765625,8999.0
21999.998046875,22000.0
21999.998046875,22000.0
22999.998046875,23000.0
11999.9990234375,12000.0
31999.998046875,32000.0
37999.99609375,38000.0
8999.0009765625,8999.0
13998.9990234375,13999.0
10998.9990234375,10999.0
21998.998046875,21999.0
9998.9990234375,9999.0
13998.9990234375,13999.0
10000.0009765625,10000.0
11999.0,11999.0
13998.9990234375,13999.0
11999.0,11999.0
10299.9990234375,10300.0
13998.9990234375,13999.0
38999.99609375,39000.0
10299.9990234375,10300.0
13998.9990234375,13999.0
10000.0009765625,10000.0
21999.998046875,22000.0
9998.9990234375,9999.0
13998.9990234375,13999.0
21998.998046875,21999.0
8999.0009765625,8999.0
9998.9990234375,9999.0
9998.9990234375,9999.0
20999.998046875,21000.0
31999.998046875,32000.0
22999.998046875,23000.0
11999.9990234375,12000.0
11999.0,11999.0
64999.99609375,65000.0
38999.99609375,39000.0
10000.0009765625,10000.0
10000.0009765625,10000.0
10999.9990234375,11000.0
64999.99609375,65000.0
10000.0009765625,10000.0
20999.998046875,21000.0
22999.998046875,23000.0
35999.99609375,36000.0
64999.99609375,65000.0
11999.0,11999.0
21999.998046875,22000.0
22999.998046875,23000.0
20999.998046875,21000.0
10998.9990234375,10999.0
10000.0009765625,10000.0
64999.99609375,65000.0
10299.9990234375,10300.0
21998.998046875,21999.0
13998.9990234375,13999.0
38999.99609375,39000.0
21999.998046875,22000.0
22999.998046875,23000.0
31999.998046875,32000.0
11999.0,11999.0
9998.9990234375,9999.0
20999.998046875,21000.0
22999.998046875,23000.0
22999.998046875,23000.0
10000.0009765625,10000.0
13998.9990234375,13999.0
64999.99609375,65000.0
11999.9990234375,12000.0
9998.9990234375,9999.0
13998.9990234375,13999.0
11999.0,11999.0
10999.9990234375,11000.0
37999.99609375,38000.0
64999.99609375,65000.0
21998.998046875,21999.0
37999.99609375,38000.0
35999.99609375,36000.0
31999.998046875,32000.0
22999.998046875,23000.0
31999.998046875,32000.0
21998.998046875,21999.0
10998.9990234375,10999.0
35999.99609375,36000.0
13998.9990234375,13999.0
11999.0,11999.0
38999.99609375,39000.0
38999.99609375,39000.0
13998.9990234375,13999.0
31999.998046875,32000.0
10999.9990234375,11000.0
31999.998046875,32000.0
31999.998046875,32000.0
8999.0009765625,8999.0
21998.998046875,21999.0
10299.9990234375,10300.0
13998.9990234375,13999.0
22999.998046875,23000.0
22999.998046875,23000.0
10999.9990234375,11000.0
11999.0,11999.0
10999.9990234375,11000.0
13998.9990234375,13999.0
10299.9990234375,10300.0
21999.998046875,22000.0
37999.99609375,38000.0
6000.00048828125,6000.0
11999.0,11999.0
9998.9990234375,9999.0
10000.0009765625,10000.0
9998.9990234375,9999.0
31999.998046875,32000.0
20999.998046875,21000.0
10299.9990234375,10300.0
21999.998046875,22000.0
11999.9990234375,12000.0
21999.998046875,22000.0
11999.0,11999.0
38999.99609375,39000.0
9998.9990234375,9999.0
13998.9990234375,13999.0
10999.9990234375,11000.0
10000.0009765625,10000.0
64999.99609375,65000.0
10999.9990234375,11000.0
13998.9990234375,13999.0
21999.998046875,22000.0
10299.9990234375,10300.0
13998.9990234375,13999.0
38999.99609375,39000.0
10999.9990234375,11000.0
13998.9990234375,13999.0
22999.998046875,23000.0
31999.998046875,32000.0
20999.998046875,21000.0
11999.9990234375,12000.0
64999.99609375,65000.0
20999.998046875,21000.0
21998.998046875,21999.0
13998.9990234375,13999.0
64999.99609375,65000.0
22999.998046875,23000.0
11999.0,11999.0
10998.9990234375,10999.0
21998.998046875,21999.0
37999.99609375,38000.0
11999.0,11999.0
22999.998046875,23000.0
9998.9990234375,9999.0
37999.99609375,38000.0
21999.998046875,22000.0
10998.9990234375,10999.0
10299.9990234375,10300.0
35999.99609375,36000.0
38999.99609375,39000.0
8999.0009765625,8999.0
11999.9990234375,12000.0
64999.99609375,65000.0
22999.998046875,23000.0
10999.9990234375,11000.0
13998.9990234375,13999.0
38999.99609375,39000.0
8999.0009765625,8999.0
20999.998046875,21000.0
10000.0009765625,10000.0
21998.998046875,21999.0
35999.99609375,36000.0
21999.998046875,22000.0
10299.9990234375,10300.0
11999.0,11999.0
21998.998046875,21999.0
37999.99609375,38000.0
11999.0,11999.0
64999.99609375,65000.0
21998.998046875,21999.0
13998.9990234375,13999.0
8999.0009765625,8999.0
20999.998046875,21000.0
10999.9990234375,11000.0
21998.998046875,21999.0
22999.998046875,23000.0
38999.99609375,39000.0
9998.9990234375,9999.0
37999.99609375,38000.0
10000.0009765625,10000.0
11999.0,11999.0
64999.99609375,65000.0
64999.99609375,65000.0
10000.0009765625,10000.0
22999.998046875,23000.0
13998.9990234375,13999.0
10299.9990234375,10300.0
10299.9990234375,10300.0
37999.99609375,38000.0
35999.99609375,36000.0
20999.998046875,21000.0
20999.998046875,21000.0
10998.9990234375,10999.0
10000.0009765625,10000.0
10299.9990234375,10300.0
11999.9990234375,12000.0
21999.998046875,22000.0
11999.9990234375,12000.0
22999.998046875,23000.0
35999.99609375,36000.0
8999.0009765625,8999.0
8999.0009765625,8999.0
31999.998046875,32000.0
64999.99609375,65000.0
10299.9990234375,10300.0
38999.99609375,39000.0
13998.9990234375,13999.0
11999.0,11999.0
11999.9990234375,12000.0
10000.0009765625,10000.0
10299.9990234375,10300.0
9998.9990234375,9999.0
6000.00048828125,6000.0
13998.9990234375,13999.0
21998.998046875,21999.0
8999.0009765625,8999.0
13998.9990234375,13999.0
22999.998046875,23000.0
20999.998046875,21000.0
37999.99609375,38000.0
10000.0009765625,10000.0
9998.9990234375,9999.0
21999.998046875,22000.0
21999.998046875,22000.0
11999.0,11999.0
10999.9990234375,11000.0
10998.9990234375,10999.0
10998.9990234375,10999.0
22999.998046875,23000.0
38999.99609375,39000.0
9998.9990234375,9999.0
13998.9990234375,13999.0
13998.9990234375,13999.0
8999.0009765625,8999.0
9998.9990234375,9999.0
10299.9990234375,10300.0
8999.0009765625,8999.0
9998.9990234375,9999.0
21998.998046875,21999.0
29999.998046875,30000.0
38999.99609375,39000.0
35999.99609375,36000.0
6000.00048828125,6000.0
38999.99609375,39000.0
37999.99609375,38000.0
20999.998046875,21000.0
21999.998046875,22000.0
31999.998046875,32000.0
22999.998046875,23000.0
10999.9990234375,11000.0
21998.998046875,21999.0
31999.998046875,32000.0
13998.9990234375,13999.0
13998.9990234375,13999.0
11999.9990234375,12000.0
21998.998046875,21999.0
10299.9990234375,10300.0
10998.9990234375,10999.0
11999.0,11999.0
38999.99609375,39000.0
13998.9990234375,13999.0
64999.99609375,65000.0
21998.998046875,21999.0
8999.0009765625,8999.0
10299.9990234375,10300.0
22999.998046875,23000.0
6000.00048828125,6000.0
21998.998046875,21999.0
21998.998046875,21999.0
10000.0009765625,10000.0
8999.0009765625,8999.0
22999.998046875,23000.0
11999.0,11999.0
10999.9990234375,11000.0
22999.998046875,23000.0
35999.99609375,36000.0
37999.99609375,38000.0
64999.99609375,65000.0
21998.998046875,21999.0
22999.998046875,23000.0
64999.99609375,65000.0
9998.9990234375,9999.0
22999.998046875,23000.0
13998.9990234375,13999.0
10000.0009765625,10000.0
10998.9990234375,10999.0
35999.99609375,36000.0
22999.998046875,23000.0
9998.9990234375,9999.0
13998.9990234375,13999.0
13998.9990234375,13999.0
22999.998046875,23000.0
10999.9990234375,11000.0
13998.9990234375,13999.0
21998.998046875,21999.0
10998.9990234375,10999.0
31999.998046875,32000.0
37999.99609375,38000.0
9998.9990234375,9999.0
22999.998046875,23000.0
11999.9990234375,12000.0
38999.99609375,39000.0
21998.998046875,21999.0
31999.998046875,32000.0
37999.99609375,38000.0
64999.99609375,65000.0
21999.998046875,22000.0
21998.998046875,21999.0
13998.9990234375,13999.0
13998.9990234375,13999.0
29999.998046875,30000.0
10299.9990234375,10300.0
31999.998046875,32000.0
20999.998046875,21000.0
31999.998046875,32000.0
31999.998046875,32000.0
29999.998046875,30000.0
31999.998046875,32000.0
22999.998046875,23000.0
21999.998046875,22000.0
35999.99609375,36000.0
11999.0,11999.0
9998.9990234375,9999.0
20999.998046875,21000.0
35999.99609375,36000.0
20999.998046875,21000.0
13998.9990234375,13999.0
11999.9990234375,12000.0
6000.00048828125,6000.0
13998.9990234375,13999.0
6000.00048828125,6000.0
22999.998046875,23000.0
11999.0,11999.0
38999.99609375,39000.0
21998.998046875,21999.0
38999.99609375,39000.0
11999.9990234375,12000.0
6000.00048828125,6000.0
10299.9990234375,10300.0
31999.998046875,32000.0
13998.9990234375,13999.0
29999.998046875,30000.0
11999.9990234375,12000.0
37999.99609375,38000.0
11999.9990234375,12000.0
38999.99609375,39000.0
10998.9990234375,10999.0
37999.99609375,38000.0
10000.0009765625,10000.0
10999.9990234375,11000.0
8999.0009765625,8999.0
13998.9990234375,13999.0
22999.998046875,23000.0
37999.99609375,38000.0
35999.99609375,36000.0
10998.9990234375,10999.0
11999.0,11999.0
20999.998046875,21000.0
13998.9990234375,13999.0
35999.99609375,36000.0
22999.998046875,23000.0
31999.998046875,32000.0
10999.9990234375,11000.0
64999.99609375,65000.0
9998.9990234375,9999.0
13998.9990234375,13999.0
21999.998046875,22000.0
21999.998046875,22000.0
35999.99609375,36000.0
9998.9990234375,9999.0
38999.99609375,39000.0
37999.99609375,38000.0
8999.0009765625,8999.0
37999.99609375,38000.0
10299.9990234375,10300.0
13998.9990234375,13999.0
6000.00048828125,6000.0
10000.0009765625,10000.0
11999.9990234375,12000.0
8999.0009765625,8999.0
21998.998046875,21999.0
35999.99609375,36000.0
22999.998046875,23000.0
10998.9990234375,10999.0
13998.9990234375,13999.0
22999.998046875,23000.0
8999.0009765625,8999.0
13998.9990234375,13999.0
21998.998046875,21999.0
13998.9990234375,13999.0
13998.9990234375,13999.0
13998.9990234375,13999.0
64999.99609375,65000.0
22999.998046875,23000.0
10999.9990234375,11000.0
11999.9990234375,12000.0
11999.0,11999.0
64999.99609375,65000.0
10000.0009765625,10000.0
22999.998046875,23000.0
8999.0009765625,8999.0
21998.998046875,21999.0
10000.0009765625,10000.0
10999.9990234375,11000.0
10000.0009765625,10000.0
13998.9990234375,13999.0
13998.9990234375,13999.0
22999.998046875,23000.0
11999.9990234375,12000.0
35999.99609375,36000.0
22999.998046875,23000.0
35999.99609375,36000.0
10998.9990234375,10999.0
20999.998046875,21000.0
6000.00048828125,6000.0
10000.0009765625,10000.0
22999.998046875,23000.0
20999.998046875,21000.0
